nohup: ignoring input
2017/09/26 08:11:49 INFO: 监听地址:8310成功
2017/09/26 08:11:49 INFO: 开始搜索区划码 - 410000
2017/09/26 08:11:57 INFO: 客户端[::1]:60269已经连接, 当前客户端数量为1
2017/09/26 08:11:57 INFO: 客户端[::1]:60269分发任务henan-410000000000005
2017/09/26 08:11:57 INFO: 客户端[::1]:60269分发任务henan-410000000000013
2017/09/26 08:11:57 INFO: 客户端[::1]:60269分发任务henan-410000000000021
2017/09/26 08:11:57 INFO: 客户端[::1]:60269响应henan-410000000000005-NOT_FOUND-0
2017/09/26 08:11:57 INFO: 客户端[::1]:60269分发任务henan-410000000000030
2017/09/26 08:11:59 INFO: 客户端[::1]:60269响应henan-410000000000021-OK-1
2017/09/26 08:11:59 INFO: 客户端[::1]:60269分发任务henan-410000000000048
2017/09/26 08:12:00 INFO: 客户端[::1]:60269响应henan-410000000000013-FAIL-0
2017/09/26 08:12:00 INFO: 客户端[::1]:60269分发任务henan-410000000000056
2017/09/26 08:12:01 INFO: 客户端[::1]:60269响应henan-410000000000030-FAIL-0
2017/09/26 08:12:01 INFO: 客户端[::1]:60269分发任务henan-410000000000064
2017/09/26 08:12:02 INFO: 客户端[::1]:60269响应henan-410000000000048-FAIL-0
2017/09/26 08:12:02 INFO: 客户端[::1]:60269分发任务henan-410000000000072
2017/09/26 08:12:03 INFO: 客户端[::1]:60269响应henan-410000000000072-NOT_FOUND-0
2017/09/26 08:12:03 INFO: 客户端[::1]:60269分发任务henan-410000000000089
2017/09/26 08:12:03 INFO: 客户端[::1]:60269响应henan-410000000000056-FAIL-0
2017/09/26 08:12:03 INFO: 客户端[::1]:60269分发任务henan-410000000000097
2017/09/26 08:12:04 INFO: 客户端[::1]:60269响应henan-410000000000097-NOT_FOUND-0
2017/09/26 08:12:04 INFO: 客户端[::1]:60269分发任务henan-410000000000101
2017/09/26 08:12:04 INFO: 客户端[::1]:60269响应henan-410000000000064-FAIL-0
2017/09/26 08:12:04 INFO: 客户端[::1]:60269分发任务henan-410000000000110
2017/09/26 08:12:06 INFO: 客户端[::1]:60269响应henan-410000000000089-FAIL-0
2017/09/26 08:12:06 INFO: 客户端[::1]:60269分发任务henan-410000000000128
2017/09/26 08:12:08 INFO: 客户端[::1]:60269响应henan-410000000000101-OK-1
2017/09/26 08:12:08 INFO: 客户端[::1]:60269分发任务henan-410000000000136
2017/09/26 08:12:08 INFO: 客户端[::1]:60269响应henan-410000000000110-FAIL-0
2017/09/26 08:12:08 INFO: 客户端[::1]:60269分发任务henan-410000000000144
